,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
209268,555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,6/1/11 12:05,1.1979124548825382,17315.0,United Kingdom
207108,554974,21128,GOLD FISHING GNOME,4,5/27/11 17:14,9.794695954627812,14031.0,United Kingdom
167085,550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,4/21/11 17:05,0.9160507007925291,14031.0,United Kingdom
471836,576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,11/16/11 10:39,2.7481521023775874,17198.0,United Kingdom
115865,546157,22180,RETROSPOT LAMP,2,3/10/11 8:40,14.022622265977946,13502.0,United Kingdom
465024,576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/14/11 12:14,4.157460872827633,15572.0,United Kingdom
477777,577076,22614,PACK OF 12 SPACEBOY TISSUES,12,11/17/11 15:08,0.5496304204755175,14362.0,United Kingdom
367855,568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,9/29/11 13:38,1.761635963062556,16818.0,United Kingdom
491657,578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,11/22/11 16:02,9.512834200537803,17759.0,United Kingdom
269641,560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,7/19/11 10:51,2.325359471242574,12415.0,Australia
111488,545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,3/7/11 10:52,11.133539286555354,15039.0,United Kingdom
427787,573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,10/30/11 15:35,1.1133539286555354,13949.0,United Kingdom
175354,551954,22799,SWEETHEART WIRE FRUIT BOWL,1,5/5/11 12:13,11.979124548825382,14515.0,United Kingdom
306249,563745,22115,METAL SIGN EMPIRE TEA,12,8/19/11 9:38,1.1133539286555354,15159.0,United Kingdom
47558,540418,22161,HEART DECORATION RUSTIC HANGING ,5,1/7/11 11:04,1.1415401040645363,,United Kingdom
116334,546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,3/10/11 12:50,3.5937373646476143,16625.0,United Kingdom
136911,548005,21499,BLUE POLKADOT WRAP,25,3/29/11 10:49,0.5919096835890189,14128.0,United Kingdom
31630,539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,12/15/10 12:27,14.022622265977946,13092.0,United Kingdom
111243,545715,82600,NO SINGING METAL SIGN,1,3/7/11 10:13,5.8204452219586855,,United Kingdom
414833,C572489,22465,HANGING METAL STAR LANTERN,-5,10/24/11 13:59,2.325359471242574,17119.0,United Kingdom
488426,577820,23169,CLASSIC GLASS COOKIE JAR,18,11/22/11 9:24,5.284907889187668,13408.0,United Kingdom
208045,555091,21936,RED RETROSPOT PICNIC BAG,1,5/31/11 12:50,4.157460872827633,12748.0,United Kingdom
219667,556106,22669,RED BABY BUNTING ,2,6/8/11 16:54,4.157460872827633,14056.0,United Kingdom
8980,537159,22667,RECIPE BOX RETROSPOT ,1,12/5/10 13:17,4.157460872827633,14527.0,United Kingdom
329248,565841,22555,PLASTERS IN TIN STRONGMAN,1,9/7/11 12:04,4.636625854780648,,United Kingdom
1305,536532,20685,DOORMAT RED RETROSPOT,2,12/1/10 13:24,11.204004725077857,12433.0,Norway
418026,572681,23232,WRAP VINTAGE LEAF DESIGN,25,10/25/11 13:51,0.5919096835890189,13510.0,United Kingdom
139212,548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,3/30/11 12:02,1.1979124548825382,16657.0,United Kingdom
484392,577531,22699,ROSES REGENCY TEACUP AND SAUCER ,7,11/20/11 13:58,8.15989778090576,,United Kingdom
252677,559133,21987,PACK OF 6 SKULL PAPER CUPS,2,7/6/11 13:13,0.9160507007925291,17861.0,United Kingdom
342960,566922,23420,PANTRY HOOK TEA STRAINER ,12,9/15/11 14:58,2.9313622425360935,16156.0,United Kingdom
105546,545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,3/1/11 9:35,1.1979124548825382,12428.0,Finland
435376,574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,11/2/11 15:33,1.1697262794735372,,United Kingdom
369330,569026,23203,JUMBO BAG VINTAGE DOILY ,10,9/30/11 10:18,2.9313622425360935,16101.0,United Kingdom
22301,538163,22468,BABUSHKA LIGHTS STRING OF 10,2,12/9/10 17:27,9.512834200537803,17841.0,United Kingdom
418379,572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,10/25/11 15:03,2.325359471242574,13871.0,United Kingdom
185848,552828,22046,TEA PARTY  WRAPPING PAPER ,25,5/11/11 13:23,0.5919096835890189,13662.0,United Kingdom
460611,575922,23225,CHERUB HEART DECORATION SILVER ,24,11/11/11 17:10,1.1697262794735372,15681.0,United Kingdom
121072,C546730,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,3/16/11 11:39,6.9760784137277225,18183.0,United Kingdom
266730,560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,7/17/11 14:05,4.580253503962646,13880.0,United Kingdom
48307,540468,21413,PERIWINKLE T-LIGHT HOLDER,1,1/7/11 13:55,3.5373650138296124,,United Kingdom
110889,545701,48116,DOORMAT MULTICOLOUR STRIPE,10,3/6/11 15:17,9.512834200537803,17107.0,United Kingdom
350876,567656,51014A,"FEATHER PEN,HOT PINK",26,9/21/11 14:40,1.1697262794735372,14096.0,United Kingdom
448594,575063,35970,ZINC FOLKART SLEIGH BELLS,3,11/8/11 12:32,2.381731822060576,16764.0,United Kingdom
228253,556917,22659,LUNCH BOX I LOVE LONDON,128,6/15/11 13:37,2.325359471242574,12415.0,Australia
279881,561369,22268,DECORATION SITTING BUNNY,2,7/26/11 16:21,0.8878645253835282,,United Kingdom
25978,538449,82599,FANNY'S REST STOPMETAL SIGN,2,12/12/10 12:24,2.9595484179450944,17085.0,United Kingdom
1226,536531,22726,ALARM CLOCK BAKELIKE GREEN,9,12/1/10 13:23,5.284907889187668,15485.0,United Kingdom
250423,C559030,84857C,PINK MONTE CARLO HANDBAG,-1,7/5/11 14:51,2.7481521023775874,16571.0,United Kingdom
52005,540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,1/10/11 16:25,10.738932830829341,,United Kingdom
290491,562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,8/4/11 15:04,2.325359471242574,14535.0,United Kingdom
358383,568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,9/25/11 11:29,2.325359471242574,14005.0,United Kingdom
198191,554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,5/20/11 13:14,0.5919096835890189,13243.0,United Kingdom
294717,562717,22784,LANTERN CREAM GAZEBO ,1,8/8/11 15:42,15.206441633155983,,United Kingdom
206898,554959,85099B,JUMBO BAG RED RETROSPOT,2,5/27/11 15:18,5.8204452219586855,,United Kingdom
162558,550512,22523,CHILDS GARDEN FORK PINK,2,4/18/11 16:31,1.1979124548825382,18069.0,United Kingdom
502216,578844,21317,GLASS SPHERE CANDLE STAND MEDIUM,4,11/25/11 16:14,15.206441633155983,,United Kingdom
417708,572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,10/25/11 13:10,2.0434977171525652,16549.0,United Kingdom
193022,553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,5/17/11 13:26,7.680732798952745,13310.0,United Kingdom
320939,565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,9/1/11 11:33,2.381731822060576,13089.0,United Kingdom
337004,566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,9/12/11 13:56,9.794695954627812,13064.0,United Kingdom
3054,536593,22366,DOORMAT AIRMAIL ,2,12/1/10 17:15,11.204004725077857,16835.0,United Kingdom
490176,578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,11/22/11 14:23,5.989562274412691,17338.0,United Kingdom
193371,553525,21385,IVORY HANGING DECORATION  HEART,24,5/17/11 14:50,1.1979124548825382,16266.0,United Kingdom
144147,548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,4/4/11 9:55,2.7481521023775874,13198.0,United Kingdom
173224,551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,5/3/11 12:16,1.1697262794735372,15271.0,United Kingdom
211477,555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,6/2/11 15:13,2.325359471242574,12517.0,Germany
504985,578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,11/27/11 16:05,0.5496304204755175,15436.0,United Kingdom
515387,579777,21877,HOME SWEET HOME MUG,1,11/30/11 15:13,4.636625854780648,,United Kingdom
231139,557233,22561,WOODEN SCHOOL COLOURING SET,3,6/17/11 14:44,2.325359471242574,15356.0,United Kingdom
217426,555924,85131B,BEADED CRYSTAL HEART GREEN ON STICK,5,6/7/11 17:12,1.1697262794735372,,United Kingdom
241492,558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,6/27/11 14:30,1.761635963062556,17841.0,United Kingdom
80118,543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2/2/11 14:36,3.5937373646476143,15421.0,United Kingdom
448770,575070,23427,STOOL HOME SWEET HOME ,2,11/8/11 12:58,17.61635963062556,17841.0,United Kingdom
93928,544322,79000,MOROCCAN TEA GLASS,24,2/17/11 15:50,1.1979124548825382,14211.0,United Kingdom
383427,570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,10/7/11 10:13,1.761635963062556,17841.0,United Kingdom
197373,553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,5/19/11 17:47,14.022622265977946,12353.0,Bahrain
513887,579619,21174,POTTERING IN THE SHED METAL SIGN,12,11/30/11 12:10,2.9313622425360935,18241.0,United Kingdom
253850,559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,7/7/11 10:36,2.9595484179450944,13291.0,United Kingdom
48159,540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,1/7/11 13:17,5.369466415414671,14298.0,United Kingdom
